Step	Best	Median	Predicted	Progress
255	26.1005	59.8071	-63.1543	0.00370164
256	28.7429	60.5904	-62.8923	0.0036886
257	32.7435	62.1866	-62.2925	0.00366354
258	37.0999	60.1335	-61.7122	0.0036419
259	39.2356	61.564	-61.6718	0.00364003
260	36.331	58.4505	-61.4108	0.00363481
261	30.9929	55.2508	-60.8638	0.0036226
262	35.7198	58.8913	-60.7104	0.00361844
263	36.849	61.9674	-60.5122	0.00360878
264	36.1025	58.9301	-60.0632	0.00359291
265	30.3521	59.3296	-59.634	0.00358172
266	25.7819	58.9858	-59.5333	0.00357877
267	37.6705	58.9329	-59.3393	0.00357075
268	19.1984	57.5052	-59.8706	0.00359162
269	38.1504	63.2212	-59.643	0.00358273
270	40.5561	63.5757	-59.2804	0.00357139
271	35.3761	58.1837	-58.4813	0.00354083
272	31.4573	54.2037	-57.686	0.00350894
273	6.12524	55.0815	-58.813	0.00355341
274	7.07219	58.2226	-59.7451	0.00359218
275	31.7123	57.82	-58.8849	0.00355671
276	18.3256	55.457	-59.6468	0.00359037
277	23.4168	58.3092	-59.3535	0.00357907
278	27.392	56.901	-59.0632	0.00356741
279	30.2231	54.1287	-58.8607	0.0035565
280	20.4465	56.2693	-59.1865	0.00357177
281	26.07	54.5168	-58.2493	0.00353495
282	34.1365	56.7168	-58.2136	0.00353438
283	25.3772	58.6525	-57.7383	0.00352096
284	29.0573	59.3187	-57.0212	0.00349317
285	40.1647	54.6292	-56.4808	0.00347344
286	30.8299	53.6946	-55.6523	0.00344628
287	18.2432	55.3728	-55.8133	0.00345262
288	27.7768	57.8447	-55.3927	0.00343877
289	32.3169	59.1578	-55.2557	0.00343352
290	30.7672	56.7021	-54.1381	0.00339595
291	22.3237	54.5768	-53.5488	0.00337857
292	25.841	50.7802	-53.077	0.00336482
293	9.53314	54.7097	-53.7447	0.00338687
294	13.8551	54.3111	-54.1678	0.00340098
295	22.7424	60.1908	-53.9616	0.00339582
296	22.9815	56.0897	-53.6866	0.00338762
297	34.3775	57.1132	-53.4554	0.00338113
298	34.4402	58.6243	-52.9997	0.00336918
299	34.233	56.7063	-52.327	0.0033433
300	35.0414	56.6882	-51.3521	0.00330853
301	33.2002	54.9788	-50.8207	0.00328926
302	18.1926	55.5635	-51.4406	0.00331335
303	24.4995	57.9495	-51.1145	0.00330011
304	24.3543	59.2889	-50.9784	0.00329486
305	29.0332	55.078	-50.7958	0.00328783
306	32.9894	54.8582	-50.4193	0.00327348
307	25.1041	53.7758	-49.8095	0.00325213
308	21.3231	52.9151	-49.7213	0.00325208
309	8.82049	53.8676	-50.4118	0.00327503
310	9.78447	54.6984	-51.0666	0.0033
311	23.8669	54.8315	-50.701	0.00328579
312	18.7668	50.7194	-50.6994	0.0032868
313	25.218	56.6482	-50.3341	0.00327552
314	27.3442	49.3326	-50.1097	0.00326903
315	23.3109	48.5725	-50.0893	0.0032691
316	16.8305	51.9088	-50.519	0.00328366
317	22.9571	51.7859	-50.3956	0.0032805
318	16.2035	46.0317	-50.8102	0.00329464
319	24.5314	52.5868	-50.681	0.0032913
320	25.6769	48.518	-50.4796	0.00328541
321	8.30114	46.8643	-50.9664	0.00330216
322	16.2037	45.9964	-51.3828	0.00331649
323	7.06331	44.3579	-51.7774	0.00333032
324	19.321	44.3882	-52.0332	0.00333976
325	9.05245	49.7803	-52.4565	0.00335604
326	23.6278	47.504	-52.3194	0.00335091
327	15.9993	46.1029	-52.6533	0.00336429
328	13.7532	43.4945	-53.073	0.00338064
329	13.7822	48.3264	-53.6669	0.00340498
330	7.00139	48.0803	-54.1759	0.00342476
331	14.7956	43.061	-54.3554	0.00343211
332	17.9117	42.5505	-54.5329	0.00343954
333	12.948	44.0121	-54.91	0.00345392
334	6.11246	43.1058	-55.6372	0.00348233
335	6.623	41.342	-55.9711	0.0034956
336	11.0206	42.5083	-56.343	0.00350785
337	23.1125	41.8247	-56.2649	0.00350787
338	9.01188	40.6187	-56.6377	0.0035202
339	13.4079	37.0203	-56.9206	0.00353399
340	8.01216	42.2994	-57.2937	0.0035487
341	6.58818	39.34	-57.8249	0.00357082
342	27.1143	42.6172	-57.5893	0.00356134
343	7.65711	40.8988	-58.1215	0.00358362
344	8.68092	43.1354	-58.4816	0.00359876
345	8.15766	36.011	-58.9917	0.00362175
346	22.0273	42.587	-58.7788	0.00361176
347	6.89016	44.8722	-59.2897	0.00363492
348	8.20778	38.4595	-59.5882	0.00364754
349	12.43	43.0612	-59.8541	0.00365874
350	8.97199	36.5767	-60.1794	0.0036735
351	8.94454	41.9395	-60.863	0.0037023
352	9.46747	37.2823	-61.5317	0.00372643
353	8.75706	38.5583	-62.4937	0.0037703
354	7.94938	40.7555	-62.9777	0.00379169
355	7.08635	40.3426	-63.4414	0.00381264
356	5.90345	35.9524	-63.7342	0.00382739
357	8.31012	41.4864	-64.0803	0.00384484
358	6.93154	39.5231	-64.396	0.00385901
359	10.4759	37.2824	-64.7446	0.00387876
360	7.28081	40.3257	-65.2425	0.00390538
361	7.34763	36.0979	-65.7566	0.00392983
362	9.34175	34.6567	-66.1811	0.00394978
363	6.8566	41.3489	-66.738	0.00397502
364	19.0448	40.1349	-66.4634	0.00396427
365	10.4502	41.3381	-66.7467	0.00397813
366	13.9211	39.8106	-66.6588	0.00397497
367	6.02153	40.8992	-67.0567	0.00399402
368	9.12819	35.4281	-67.2731	0.00400541
369	9.0227	37.6831	-67.4642	0.00401522
370	6.85553	35.0083	-67.8504	0.00403438
371	6.75604	35.7853	-68.2642	0.00405506
372	8.98175	39.2814	-68.526	0.00406776
373	8.65253	32.948	-68.5369	0.00407049
374	8.40637	32.9403	-68.6545	0.00407862
375	6.64214	36.7428	-69.0673	0.00409704
376	7.57727	34.5203	-69.3536	0.00411185
377	8.58762	41.4314	-69.5158	0.00411913
378	16.0137	38.4609	-69.5053	0.00412091
379	7.61682	40.2589	-69.7623	0.00413381
380	7.0142	36.1729	-70.1465	0.00415433
381	6.05776	35.9995	-70.6889	0.00417996
382	7.31448	40.0346	-70.9598	0.00419493
383	6.84152	34.4459	-71.2756	0.00421105
384	6.4591	39.2847	-71.5368	0.00422631
385	6.70875	38.5216	-71.7779	0.00423854
386	9.27991	37.5415	-71.803	0.00424185
387	6.66942	35.1766	-71.8823	0.00424687
388	9.79672	36.7967	-71.9925	0.00425325
389	6.50077	32.6435	-71.9852	0.00425454
390	6.47021	39.1084	-72.0231	0.00425721
391	10.1993	38.2755	-72.1365	0.00426466
392	13.6916	35.9777	-71.9336	0.00425664
393	6.30425	31.0537	-72.0441	0.00426367
394	11.1576	40.9516	-72.0426	0.00426414
395	8.1683	32.7214	-72.0143	0.00427028
396	9.80868	35.5096	-72.0187	0.00427729
397	7.38593	35.0578	-71.8442	0.00427275
398	9.13227	34.7325	-71.8638	0.00427638
399	7.35176	37.6296	-71.9501	0.00428063
400	6.39851	31.1617	-72.0347	0.00428632
401	9.76221	38.7427	-72.1056	0.00429209
402	7.12637	35.9915	-72.0011	0.00428905
403	8.6626	39.1264	-72.0075	0.00428842
404	9.19658	38.7844	-72.0421	0.00429056
405	9.17972	34.4128	-72.0518	0.00429123
406	9.64999	32.9857	-71.9414	0.00428921
407	5.94842	39.3086	-71.948	0.00428476
408	16.7839	34.0819	-71.7478	0.00426957
409	17.0175	36.2699	-71.7336	0.00426671
410	7.76034	32.3702	-71.717	0.00426511
