Step	Best	Median	Predicted	Progress
577	0.462775	13.9271	0.43987	8.22124e-05
578	0.462675	0.474486	0.440174	8.1132e-05
579	0.463407	12.2345	0.440303	8.05789e-05
580	0.462241	0.469589	0.440377	8.02031e-05
581	0.46276	0.478735	0.440629	7.92698e-05
582	0.462359	0.479842	0.440785	7.86574e-05
583	0.463275	0.472528	0.441099	7.75917e-05
584	0.46306	0.469301	0.441184	7.71773e-05
585	0.462503	0.470342	0.441312	7.66519e-05
586	0.461279	17.2516	0.441468	7.60172e-05
587	0.463144	8.71119	0.441702	7.51548e-05
588	0.463293	0.470855	0.441804	7.46964e-05
589	0.463443	0.471193	0.441938	7.41248e-05
590	0.462414	0.467608	0.442176	7.32507e-05
591	0.462736	0.470099	0.442318	7.26644e-05
592	0.462554	0.47131	0.442628	7.1678e-05
593	0.463212	0.469728	0.442831	7.09528e-05
594	0.462407	0.472499	0.442978	7.04508e-05
