Step	Best	Median	Predicted	Progress
328	3.85165	15.6567	0.841128	0.00123868
329	3.86992	22.0346	0.841073	0.00123761
330	3.79797	4.21623	0.83944	0.00123705
331	3.80022	25.0341	0.843613	0.00123456
332	3.84295	19.5407	0.850775	0.00123108
333	3.85049	17.2072	0.845541	0.00123174
334	3.86456	15.5822	0.847704	0.00122995
335	3.86523	27.7838	0.84961	0.00122824
336	3.85293	16.7659	0.853197	0.001226
337	3.82435	17.151	0.85337	0.00122485
338	3.79416	21.7833	0.851438	0.00122441
339	3.81429	17.9837	0.853684	0.00122261
340	3.63119	27.554	0.839949	0.00122591
341	3.7797	16.4685	0.84573	0.00122298
342	3.76488	13.7357	0.853981	0.00121927
343	3.75773	31.905	0.85356	0.00121832
344	3.82488	17.023	0.855447	0.00121663
345	3.85108	6.91793	0.866958	0.00121186
346	3.76377	4.02478	0.86671	0.00121087
347	3.82858	20.218	0.864429	0.00121059
348	3.77385	3.97907	0.870224	0.00120763
349	3.68906	13.9235	0.877441	0.00120427
350	3.69525	17.1823	0.880741	0.00120219
351	3.65573	12.2709	0.880636	0.00120118
352	3.78438	9.85563	0.880542	0.00120019
353	3.67101	15.0908	0.878898	0.00119966
354	3.78294	17.8604	0.880337	0.00119818
355	3.68115	16.7582	0.885149	0.00119551
356	3.7853	12.6388	0.887348	0.00119372
357	3.78423	4.03311	0.887232	0.00119267
358	3.76951	11.5282	0.893126	0.00118968
359	3.7252	23.514	0.903153	0.00118541
360	3.65215	21.127	0.904769	0.00118385
361	3.68084	6.5659	0.904922	0.0011828
362	3.77651	34.0997	0.912436	0.00117934
363	3.74199	13.963	0.916029	0.00117722
364	3.77909	16.1318	0.916677	0.00117599
365	3.70602	18.5223	0.921873	0.00117324
366	3.68829	10.6066	0.928567	0.00117011
367	3.60507	14.8338	0.930491	0.00116841
368	3.74551	3.95413	0.928039	0.00116817
369	3.55266	3.95631	0.921319	0.00116926
370	3.68096	9.65234	0.926782	0.00116648
371	3.7063	18.8734	0.931881	0.00116385
372	3.62648	25.8813	0.936776	0.00116121
373	3.70587	19.0279	0.940949	0.00115882
374	3.63042	19.0601	0.941459	0.00115756
375	3.35442	20.2335	0.930314	0.00116016
376	3.70528	22.9152	0.930844	0.0011589
377	3.72098	27.3387	0.936965	0.00115601
378	3.57384	35.4443	0.936406	0.00115508
379	3.4735	24.7557	0.925313	0.00115756
380	3.55506	30.758	0.925376	0.00115642
381	3.49458	33.5377	0.919989	0.00115709
382	3.71151	18.7402	0.922158	0.00115538
383	3.71849	21.308	0.919976	0.00115516
384	3.56001	15.6873	0.922297	0.0011535
385	3.57409	23.1637	0.924395	0.00115182
386	3.60515	14.9405	0.924423	0.00115081
387	3.65471	16.0537	0.924704	0.00114968
388	3.5178	21.1848	0.923913	0.0011489
389	3.55087	32.0711	0.923265	0.00114812
390	3.65268	17.6094	0.928004	0.0011456
391	3.66085	21.8169	0.926828	0.00114493
392	3.65855	15.0636	0.924553	0.00114463
393	3.58471	33.8896	0.928333	0.00114237
394	3.59778	22.738	0.932875	0.00113992
395	3.55021	20.1424	0.932668	0.001139
396	3.66844	15.3099	0.931549	0.00113834
397	3.58023	13.972	0.933824	0.00113656
398	3.71675	34.1427	0.933297	0.0011357
399	3.52556	14.4355	0.934773	0.00113422
400	3.58014	15.5667	0.934078	0.00113344
401	3.77605	18.0696	0.935153	0.00113208
402	3.60111	9.4201	0.933666	0.00113159
403	3.71827	12.9202	0.938437	0.00112914
404	3.7011	6.44131	0.940206	0.00112761
405	3.61835	16.6833	0.941933	0.00112604
406	3.58042	26.2689	0.941266	0.00112522
407	3.52404	10.0115	0.937396	0.00112547
408	3.67584	21.8238	0.940092	0.00112355
409	3.3746	17.7331	0.935034	0.00112415
410	3.61166	14.0606	0.935478	0.001123
411	3.46155	23.5108	0.938686	0.00112114
412	3.52635	17.6515	0.940889	0.00111966
413	3.50225	15.138	0.938268	0.0011195
414	3.58775	41.6773	0.938761	0.0011183
415	3.65716	9.71122	0.93982	0.00111703
416	3.6196	30.2784	0.941332	0.00111569
417	3.61928	15.711	0.942266	0.00111442
418	3.3101	6.58488	0.93136	0.00111694
419	3.60037	35.4659	0.932312	0.00111567
420	3.35605	30.0697	0.930815	0.00111511
421	3.46714	28.2767	0.929118	0.00111466
422	3.56513	21.5175	0.931717	0.00111284
423	3.5603	17.0968	0.936445	0.00111036
424	3.42951	21.1602	0.935245	0.00110976
425	3.5146	29.3653	0.935684	0.0011086
426	3.61844	20.2389	0.933162	0.00110844
427	3.66474	14.5447	0.931474	0.00110804
428	3.60193	15.7108	0.933239	0.00110657
429	3.55914	7.10067	0.934511	0.00110518
430	3.46038	19.3773	0.934339	0.00110425
431	3.63462	3.95175	0.933191	0.00110383
432	3.49475	3.92584	0.933699	0.00110291
433	3.41011	16.171	0.934704	0.00110171
434	3.35426	18.9972	0.933481	0.00110109
435	3.34719	21.7436	0.925958	0.00110238
436	3.51126	27.4635	0.925599	0.00110172
437	3.4154	16.3541	0.929064	0.00109963
438	3.56553	11.584	0.928674	0.00109878
439	3.42644	3.85396	0.936263	0.00109539
440	3.38775	9.79795	0.939896	0.00109345
441	3.44708	20.3316	0.939737	0.00109259
442	3.42075	9.45473	0.941736	0.00109101
443	3.28894	9.33962	0.936934	0.0010916
444	3.45649	9.51342	0.935489	0.00109113
445	3.35716	3.94832	0.935129	0.00109031
446	3.37964	19.2556	0.939154	0.00108812
447	3.3732	22.8315	0.938448	0.00108742
448	3.2621	16.5863	0.930754	0.00108893
449	3.49617	8.86278	0.932349	0.00108751
450	3.26347	15.7521	0.926768	0.00108835
451	3.31138	14.8527	0.927209	0.00108728
452	3.24946	12.7343	0.922391	0.00108785
453	3.21529	6.53298	0.916018	0.00108895
454	3.2689	14.2495	0.912433	0.00108914
455	3.35912	14.0042	0.910917	0.00108869
456	3.19905	10.6126	0.902911	0.00109033
457	3.2458	11.2553	0.89655	0.00109138
458	3.38078	21.8418	0.894711	0.00109109
459	3.3524	9.87383	0.893316	0.00109061
460	3.15992	13.8094	0.885194	0.00109228
461	3.30125	23.0142	0.886783	0.00109085
462	3.34898	20.3746	0.886395	0.00109002
463	3.20675	6.82428	0.881203	0.00109076
464	3.28289	14.3611	0.879298	0.00109044
465	3.29885	6.7414	0.876513	0.00109043
466	3.19271	3.74601	0.870427	0.00109143
467	3.22265	17.2258	0.866253	0.00109184
468	3.31675	15.2161	0.867231	0.00109059
469	3.17613	10.4523	0.860551	0.00109181
470	3.1595	10.3516	0.852102	0.00109361
471	3.17399	9.0721	0.850007	0.00109333
472	3.17296	29.8836	0.846444	0.00109352
473	3.17209	9.73518	0.842769	0.00109374
474	3.24217	19.5603	0.845966	0.00109182
475	3.19605	9.80221	0.838818	0.00109317
476	3.1488	9.1554	0.827507	0.00109585
477	3.19882	30.3215	0.829568	0.00109431
478	3.15513	11.8704	0.825885	0.00109456
479	3.25529	17.9826	0.826052	0.00109366
480	3.18205	3.81189	0.822781	0.00109381
481	3.22434	14.3107	0.82361	0.00109267
482	3.20499	10.7015	0.822535	0.00109216
483	3.13155	10.1588	0.814939	0.00109363
484	3.19109	18.1388	0.813753	0.00109317
485	3.17353	16.1393	0.810264	0.0010934
486	3.23177	21.5837	0.810984	0.00109227
487	3.15091	3.46519	0.810763	0.00109145
488	3.16752	6.27901	0.808924	0.00109115
489	3.15488	6.38564	0.805354	0.0010914
490	3.14562	17.6899	0.800843	0.00109196
491	3.12962	11.6802	0.793348	0.00109345
492	3.12843	10.032	0.789329	0.00109383
493	3.13847	17.7559	0.787881	0.00109341
494	3.11828	19.4774	0.784581	0.00109355
495	3.08073	24.6982	0.778562	0.00109456
496	3.15154	21.4547	0.776196	0.00109444
497	3.10837	18.3022	0.77467	0.00109405
498	3.12507	24.2282	0.772686	0.00109381
499	3.14229	18.9888	0.769622	0.00109388
500	3.14184	21.2992	0.770873	0.0010932
501	3.11868	13.6009	0.770738	0.00109297
502	3.15962	23.1359	0.766669	0.00109402
503	3.10773	10.4014	0.767351	0.00109348
504	3.16053	17.4588	0.768688	0.00109279
505	3.09802	13.5413	0.767885	0.00109275
506	3.09193	14.9065	0.77028	0.00109166
507	3.11429	21.5116	0.765978	0.00109277
508	3.13002	29.3605	0.767269	0.00109199
509	3.10343	16.3709	0.766606	0.00109192
510	3.11543	10.8049	0.762403	0.00109301
511	3.12899	20.4644	0.762379	0.00109272
512	3.12735	18.6488	0.763308	0.00109211
513	3.10548	17.4706	0.761239	0.0010925
514	3.11817	12.5272	0.765788	0.00109076
515	3.12138	10.7969	0.764837	0.00109077
516	3.13001	21.8204	0.764077	0.00109072
517	3.09243	23.5916	0.765829	0.00108989
518	3.11076	17.2707	0.765353	0.00108973
519	3.12308	9.93735	0.76303	0.00109023
520	3.12373	12.4183	0.76762	0.00108842
521	3.10048	20.944	0.770235	0.00108726
522	3.10951	10.26	0.769513	0.00108717
523	3.10335	8.84087	0.76895	0.00108699
524	3.14472	12.3377	0.772688	0.00108547
525	3.12226	17.3136	0.773195	0.00108496
526	3.12767	21.9033	0.772223	0.00108495
527	3.12544	5.97574	0.772474	0.00108452
528	3.10812	19.7173	0.774314	0.0010836
529	3.13076	17.3484	0.77667	0.00108251
530	3.12886	8.92784	0.775854	0.00108246
531	3.12406	9.41433	0.77503	0.00108242
532	3.11162	3.20715	0.774714	0.00108225
533	3.12201	3.32419	0.777571	0.00108108
534	3.10367	11.5033	0.779629	0.00108015
535	3.10181	3.28771	0.779839	0.00107979
536	3.06992	3.28138	0.778826	0.00107986
537	3.10444	29.9559	0.779935	0.00107918
538	3.10729	12.8305	0.7778	0.00107962
539	3.09999	13.89	0.77432	0.00108055
540	3.08735	9.58035	0.77408	0.00108032
541	3.09686	16.0208	0.772574	0.00108054
542	3.07895	12.0852	0.771314	0.00108064
543	3.09112	14.853	0.769246	0.00108101
544	3.08667	11.1912	0.77106	0.00108006
545	3.10244	14.4553	0.769948	0.00108011
546	3.085	3.31588	0.769612	0.00107988
547	3.07804	9.13291	0.768989	0.00107979
548	3.06161	19.9627	0.769407	0.00107933
549	3.09517	18.7689	0.768157	0.00107944
550	3.06693	10.8884	0.768286	0.00107912
551	3.06147	12.0111	0.770973	0.00107793
552	3.07893	19.6874	0.768798	0.00107838
553	3.0532	16.9149	0.767148	0.00107865
554	3.06221	13.6535	0.767951	0.00107809
555	3.06393	21.9216	0.766528	0.00107829
556	3.06411	16.1987	0.768578	0.00107734
557	3.07061	3.151	0.770309	0.00107648
558	3.0603	23.2385	0.771453	0.00107583
559	3.06595	24.0263	0.772369	0.00107524
560	3.05489	3.20677	0.77326	0.00107465
561	3.05986	16.0466	0.774555	0.00107393
562	3.06484	5.96857	0.77445	0.00107364
563	3.05366	22.99	0.774497	0.00107331
564	3.05806	16.3256	0.774903	0.00107292
565	3.05608	8.8149	0.775379	0.00107248
566	3.04191	11.4567	0.774298	0.00107251
567	3.05724	22.5289	0.774415	0.00107218
568	3.05566	10.8688	0.773014	0.00107236
569	3.05728	10.8431	0.774094	0.00107168
570	3.05566	6.19482	0.773582	0.00107154
571	3.04208	12.9394	0.772288	0.00107167
572	3.04168	18.5067	0.77178	0.00107155
573	3.05281	10.9665	0.774418	0.00107039
574	3.04645	16.7774	0.773103	0.00107055
575	3.04658	3.15122	0.773733	0.00107005
576	3.04695	13.25	0.77365	0.00106975
577	3.04237	3.11158	0.774262	0.00106922
578	3.03302	3.18911	0.77661	0.00106814
579	3.03746	5.93818	0.777053	0.0010677
580	3.03554	11.6855	0.773404	0.00106871
581	3.01534	14.4295	0.77403	0.00106821
582	3.0116	5.79948	0.76994	0.00106934
583	3.03733	16.4343	0.766058	0.00107041
584	3.04567	10.5703	0.765414	0.00107041
585	3.03097	10.0638	0.764144	0.00107059
586	3.05066	10.633	0.764423	0.00107026
587	3.0409	5.81952	0.767019	0.00106904
588	3.02495	5.66556	0.763364	0.00107005
589	3.04578	3.17542	0.759959	0.00107098
590	3.04728	3.19942	0.757496	0.00107156
591	3.04487	3.11667	0.75358	0.00107265
592	3.04437	3.10174	0.752887	0.00107262
593	3.04595	8.72137	0.749319	0.00107362
594	3.05537	9.48148	0.748404	0.00107362
595	3.03873	3.10365	0.746201	0.00107415
596	3.04247	3.14306	0.749251	0.00107283
597	3.03954	9.47529	0.752642	0.00107141
598	3.03276	3.14704	0.75434	0.00107063
599	3.02799	3.11977	0.754621	0.00107027
600	3.03301	3.09658	0.755864	0.00106957
601	3.02792	3.10082	0.756338	0.00106914
